task_id,part,status,owner,evidence,notes
BASE-001,01-foundation-build-containment.md,done,Backend,artifacts/baseline/20260726T205309Z/RESULT.json,Runtime settings OpenAPI schema code and data manifests captured
BASE-002,01-foundation-build-containment.md,done,Platform,artifacts/baseline/20260726T205309Z/backup-manifest.json,SQLite online backup plus verified storage and OKF copy
BASE-003,01-foundation-build-containment.md,done,Platform,artifacts/baseline/20260726T205309Z/restore-verification.json,Checksum-identical clean restore and authenticated API read passed
BASE-004,01-foundation-build-containment.md,done,Backend,artifacts/baseline/20260726T205309Z/reconciliation.json,Known database storage FTS and unavailable-vector state reproduced
DEC-001,01-foundation-build-containment.md,done,Service owner + Platform + Security,docs/adr/0001-backend-production-profile.md,D-01 through D-16 locked as the implementation baseline
GOV-001,01-foundation-build-containment.md,done,Service owner,docs/release-blockers.md,PR-01 through PR-15 have owners targets status and closure proof
SAFE-001,01-foundation-build-containment.md,done,Platform,docs/runbooks/baseline-backup-and-restore.md,Source is evidence and repair is restricted to restored staging copies
BUILD-001,01-foundation-build-containment.md,in_progress,Backend + Platform,docs/evidence/WP01-A-reproducible-build-and-isolated-tests.md,Local and built image report Python 3.12.13 and CI declares 3.12; hosted CI execution proof remains
BUILD-002,01-foundation-build-containment.md,in_progress,Backend,docs/evidence/WP01-A-reproducible-build-and-isolated-tests.md,Frozen lock clean 80-package development sync and matching full production export verified; BUILD-001 hosted proof remains
BUILD-003,01-foundation-build-containment.md,in_progress,Backend + Platform,docs/evidence/WP02-C-immediate-containment.md,Built production image excludes pytest Bandit and other development tools; dependency closure and hosted image proof remain
TEST-001,01-foundation-build-containment.md,done,Backend,docs/evidence/WP01-A-reproducible-build-and-isolated-tests.md,Temporary DB storage settings users and app factory plus source-data guard verified
TEST-002,01-foundation-build-containment.md,done,Backend,docs/evidence/WP01-A-reproducible-build-and-isolated-tests.md,Six existing layer tests pass under frozen pytest command
TEST-003,01-foundation-build-containment.md,done,Backend,docs/evidence/WP01-B-known-failure-regressions.md,Five strict regressions cover scoped RBAC arbitrary import implicit egress and silent vector/audit failures
TEST-004,01-foundation-build-containment.md,done,Backend,docs/evidence/WP01-C-isolated-api-smoke.md,Three isolated HTTP scenarios cover auth lifecycle download search Ask duplicates audit and admin without models or egress
